condition,container,discription,follow,lastest_chap,link,tag,teaser,title,view
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"""Tôi không cần tỏa sáng cũng được, sau khi chiến thắng trận đấu, đội chúng tôi sẽ trở thành nhân vật chính’’. Lee Jae Hyuk thất vọng với hình ảnh đội bóng chuyền khi vừa mới nhập học cấp 3, ""Cái này gọi là đội bóng chuyền sao?"". Jae Hyuk quyết định trực tiếp thành lập đội cùng với Do Min Hwan, người...",7546.0,338.0,https://truyenqqq.vn/truyen-tranh/hau-cung-cua-nu-de-7272,"Manhua, Romance, Ngôn Tình, Cổ Đại",https://i.truyenvua.com/ebook/190x247/hau-cung-cua-nu-de_1559568116.jpg?gt=hdfgdfg&mobile=2,Hậu Cung Của Nữ Đế,2205447.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Vì cuộc chiến tranh này đã xảy ra biến hóa nghiêng trời lệch đất, ma pháp sư, kỵ sĩ, tu nữ các chức nghiệp bắt đầu xuất hiện, nơi đây đã biến thành thế giới ma pháp. 5000 năm sau, một đạo thiên lôi đánh thức đại tu sĩ Chung Thiên Thuận đang ngủ say trong Hiên Viên Mộc, hắn trở thành tu tiên giả cuối...",127.0,22.0,https://truyenqqq.vn/truyen-tranh/one-point-14152,"School Life, Manhwa, Sports, Truyện Màu",https://i.truyenvua.com/ebook/190x247/one-point_1684378583.jpg?gt=hdfgdfg&mobile=2,One Point,19338.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Tôi đã trở thành nhân vật phản diện của cuốn tiểu thuyết mà tôi đang đọc.
Tuy nhiên, cuốn tiểu thuyết này… Là một cuốn tiểu thuyết chết chóc, trong đó đế quốc sẽ đột ngột sụp đổ ngay trước khi nguyên tác kết thúc!
Nguyên tác thật đáng ghét! Nhưng giờ tôi phải cố gắng sống sót cái đã. Vậy nên tôi mới...",2429.0,13.5,https://truyenqqq.vn/truyen-tranh/tu-tien-gia-cuoi-cung-13456,"Action, Comedy, Fantasy, Manhua",https://i.truyenvua.com/ebook/190x247/tu-tien-gia-cuoi-cung_1671616274.jpg?gt=hdfgdfg&mobile=2,Tu Tiên Giả Cuối Cùng,150050.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Công chúa của đế quốc Roahim đã bị sát hại bởi chính anh trai của mình. Cô đã chết và kèm theo tội danh có ý định giết cha của mình.
“Gì chứ?”
Sau cái chết oan uổng đó, cô đã tái sinh vào một cuộc sống mới!
Một cuộc sống thứ hai mà cô chưa bao giờ nghĩ đến, nhưng không phải có điều gì đó hơi kỳ lạ s...",1405.0,27.0,https://truyenqqq.vn/truyen-tranh/toi-tro-thanh-nhan-vat-phan-dien-trong-mot-cuon-tieu-thuyet-chet-choc-13140,"Drama, Romance, Manhwa, Ngôn Tình, Xuyên Không, Cổ Đại, Truyện Màu",https://i.truyenvua.com/ebook/190x247/toi-tro-thanh-nhan-vat-phan-dien-trong-mot-cuon-tieu-thuyet-chet-choc_1666167840.jpg?gt=hdfgdfg&mobile=2,Tôi Trở Thành Nhân Vật Phản Diện Trong Một Cuốn Tiểu Thuyết Chết Chóc,182121.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Web manga xoay quanh Bojji, một hoàng tử bị điếc, bất lực, thậm chí không thể sử dụng thanh kiếm của trẻ em. Là con trai đầu lòng, anh phấn đấu hết mình và ước mơ trở thành vị vua vĩ đại nhất thế giới. Tuy nhiên, mọi người đồn thổi về anh sau lưng anh là một hoàng tử chẳng ra gì và không thể nào anh...",2731.0,35.0,https://truyenqqq.vn/truyen-tranh/toi-da-tai-sinh-thanh-be-cao-cua-than-13153,"Manhwa, Ngôn Tình, Cổ Đại, Chuyển Sinh, Truyện Màu",https://i.truyenvua.com/ebook/190x247/toi-da-tai-sinh-thanh-be-cao-cua-than_1666323608.jpg?gt=hdfgdfg&mobile=2,Tôi Đã Tái Sinh Thành Bé Cáo Của Thần,441614.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,Cuộc sống của chàng quản gia may mắn và cô chủ nhà cute:)),514.0,194.0,https://truyenqqq.vn/truyen-tranh/bang-xep-hang-vua-13656,"Action, Comedy, Fantasy, Seinen",https://i.truyenvua.com/ebook/190x247/bang-xep-hang-vua_1674874433.jpg?gt=hdfgdfg&mobile=2,Bảng Xếp Hạng Vua,320999.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Câu chuyện tình yêu rực lửa ngang trái giữa anh chàng biên tập truyện tranh Kato Kayuzoshi 25 tuổi và yankee cấp 3 Nikoudai Ryla 16 tuổi. Liệu thanh niên có bắt vô tù hay không...
",79.0,3.0,https://truyenqqq.vn/truyen-tranh/i-be-came-the-butler-of-the-gloomy-young-lady-in-my-class-14477,"Comedy, Romance",https://i.truyenvua.com/ebook/190x247/i-be-came-the-butler-of-the-gloomy-young-lady-in-my-class_1689867562.jpg?gt=hdfgdfg&mobile=2,I Be Came The Butler Of The Gloomy Young Lady In My Class,3921.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Bae Suah là một nhà thiết kế nhỏ nhắn, tóc đỏ, cô đang làm việc tại Trung tâm thiết kế Taeha C&T. Một buổi sáng nọ, cô thức dậy và thấy bản thân đang bị trói trên ghế. Người đàn ông đang nhăn nhó không ai khác chính là người anh trai đáng sợ của bạn cùng phòng, Seung - hyun , chủ nhân của căn hộ...",395.0,12.0,https://truyenqqq.vn/truyen-tranh/yjks-unusual-affection-5217,"Comedy, Drama, Shounen, Romance, Seinen, Ecchi",https://i.truyenvua.com/ebook/190x247/yjks-unusual-affection_1532526604.jpg?gt=hdfgdfg&mobile=2,Yjk's Unusual Affection,71148.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Vưu Thu Tử, hay trang điểm đậm, khí chất đáng sợ, nhưng bên trong lại ẩn chứa một trái tim đầy tổn thương, và những hành động đó chỉ là để thoát ra khỏi cuộc sống xã hội. Cuộc sống được cho là nhàm chán đó thay đổi khi Thác Nhất, người đã rời đi 5 năm quay lại. Người trước mắt vừa lạ vừa quen, để đư...",705.0,110.0,https://truyenqqq.vn/truyen-tranh/gia-mao-theo-phong-cach-11554,"Romance, Manhwa, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/gia-mao-theo-phong-cach_1628759296.jpg?gt=hdfgdfg&mobile=2,Giả Mạo Theo Phong Cách,126502.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Aria đã ngỏ lời về một cuộc hôn nhân theo hợp đồng với Đại Công tước Valentine – người đã bán linh hồn cho quỷ dữ.
“Xin hãy cưới em.”
Bàn tay nhỏ nhắn tựa lá phong, Aria lập lời thề cùng với bản hợp đồng.
“Vì đây là một cuộc hôn nhân theo hợp đồng, nên chúng ta sẽ ly hôn sau 10 năm nữa…”
Vị Công tướ...",100.0,6.0,https://truyenqqq.vn/truyen-tranh/vu-xuyen-vat-ngu-14444,"Manhua, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/vu-xuyen-vat-ngu_1689572836.jpg?gt=hdfgdfg&mobile=2,Vũ Xuyên Vật Ngữ,2386.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,Phần tiếp theo của Trigun. Theo chân tay súng yêu hòa bình Vash the Stampede hai năm sau khi anh biến mất. Hãy cùng đi qua những cồn cát nóng bỏng của No Man's Land và tìm câu trả lời cho câu hỏi suốt 150 qua của loài người: Làm thế nào để chúng ta có thể tiếp tục tồn tại trên hành tinh khô cằn này?...,6210.0,83.0,https://truyenqqq.vn/truyen-tranh/tro-thanh-co-vo-khe-uoc-cua-nhan-vat-phan-dien-12141,"Romance, Manhwa, Chuyển Sinh, Truyện Màu",https://i.truyenvua.com/ebook/190x247/tro-thanh-co-vo-khe-uoc-cua-nhan-vat-phan-dien_1644161862.jpg?gt=hdfgdfg&mobile=2,Trở Thành Cô Vợ Khế Ước Của Nhân Vật Phản Diện,1076757.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Naruto là một cậu bé có mơ ước trở thành hokage của làng Konoha,được Hokage phong ấn trong người một trong 9 quái vật của thể giới : Cửu vĩ Hồ ly. Vì cho cậu là một con quái vật, ko ai dám chơi với cậu!& Vì muốn được thừa nhận nên rất phá phách.Khi tốt nghiệp trướng ninja, lần đầu tiên cậu đã đư...",128.0,25.0,https://truyenqqq.vn/truyen-tranh/trigun-maximum-14358,"Action, Adventure, Comedy, Drama, Supernatural, Martial Arts",https://i.truyenvua.com/ebook/190x247/trigun-maximum_1687570712.jpg?gt=hdfgdfg&mobile=2,Trigun Maximum,23927.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Một thế giới mà cảnh sát đặc biệt tồn tại để đối phó với những tên tội phạm với khả năng độc nhất vô nhị. Một nhân vật phản diện vô lý đến với Han Doryeong, cảnh sát đặc nhiệm mạnh nhất đang trải qua những ngày yên bình! Nhưng có gì đó không ổn với tên tội phạm này? Nhân vật phản diện tồi tệ nhất yê...",2791.0,374.0,https://truyenqqq.vn/truyen-tranh/naruto-full-mau-7568,"Action, Comedy, Drama, Fantasy, Shounen",https://i.truyenvua.com/ebook/190x247/naruto-full-color-edition_1562333377.jpg?gt=hdfgdfg&mobile=2,Naruto Full Màu,2486189.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Miho là 1 sinh viên đại học có ám ảnh tâm lý với đồ ăn. Đột nhiên, cô ấy tìm được cho mình 1 người bạn đời giả vờ. Không những thế, người đó còn là cô gái xinh đẹp số 1 đại học, Mori-senpai. Một cô gái với câu chuyện về cuộc đời được tiết lộ thông qua đồ ăn được vẽ bởi tác giả của Fuzoroi no Renri!
",2639.0,59.0,https://truyenqqq.vn/truyen-tranh/ke-phan-dien-thuan-tuy-12859,"Action, Comedy, Romance, Shoujo, Manhwa, Truyện Màu",https://i.truyenvua.com/ebook/190x247/ke-phan-dien-thuan-tuy_1661318907.jpg?gt=hdfgdfg&mobile=2,Kẻ Phản Diện Thuần Túy,474046.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Anh thanh niên dân đen bất tài thấp hèn vô dụng trước khi chết đã ước được trở thành bậc thầy ma fap, đách biết con rồng thần nào hay thực thể X nào đã dream come true anh, biến anh thành hoàng tử (đĩ đượi) vương quốc Saloom
",187.0,8.0,https://truyenqqq.vn/truyen-tranh/senpai-oishiidesu-ka-14075,"Drama, Romance, School Life, Slice Of Life, Yuri",https://i.truyenvua.com/ebook/190x247/senpai-no-co-ngon-khong-a_1682437200.jpg?gt=hdfgdfg&mobile=2,"Senpai, Oishiidesu Ka?",17773.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Tuyện tiếp nối chap 545 của Fairy Tail, khi nhóm Natsu đi làm nhiệm vụ trăm năm.
",12783.0,334.0,https://truyenqqq.vn/truyen-tranh/vo-nghich-8660,"Action, Adventure, Manhua, Truyện Màu",https://i.truyenvua.com/ebook/190x247/vo-nghich_1576583669.jpg?gt=hdfgdfg&mobile=2,Võ Nghịch,4923235.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Trường trung học Mitsumine nổi tiếng chứa chấp thành phần bất hảo và côn đồ khét tiếng nhất vùng đến mức ai cũng phải sợ.
Chuyện gì sẽ xảy ra khi Asagiri Shinnosuke đụng độ băng đảng mạnh nhất trường- Sunahara vào ngày đầu tiên chuyển trường
",7218.0,119.0,https://truyenqqq.vn/truyen-tranh/chuyen-sinh-thanh-that-hoang-tu-11230,"Adventure, Fantasy, Shounen, Slice Of Life, Ecchi",https://i.truyenvua.com/ebook/190x247/chuyen-sinh-thanh-that-hoang-tu_1622107423.jpg?gt=hdfgdfg&mobile=2,Chuyển Sinh Thành Thất Hoàng Tử,2271993.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Thật sự không nghĩ tới, xã hội tinh anh, Minh tinh độc thân Trần Hán thăng thế mà trùng sinh, tỉnh lại sau giấc ngủ quay lại thành học sinh tốt nghiệp cấp ba. Ngã tư đường Trần Hán thăng cũng tại do dự, bảo tàng nữ hài Thẩm Ấu Sở cùng Bạch Nguyệt Tiêu, hắn sẽ lựa chọn ai?
",30834.0,137.0,https://truyenqqq.vn/truyen-tranh/hoi-phap-su-nhiem-vu-tram-nam-5212,"Action, Adventure, Comedy, Fantasy",https://i.truyenvua.com/ebook/190x247/fairy-tail-100-year-quest_1532514729.jpg?gt=hdfgdfg&mobile=2,Hội Pháp Sư Nhiệm Vụ Trăm Năm,20451614.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Matsubayashi, thanh niên với vẻ ngoài bố đời lại ngượng ngùng khi cố gắng nói chuyện với nàng công chúa cùng lớp, Miyazen. Cô nàng nhà ta thì luôn cố gắng thu hút sự chú ý của cậu bằng những câu thoại khiến cô nàng nhà ta cũng ngượng ngùng không kém. Nàng thả thính, chàng né thính còn lại mọi người ...",2351.0,203.0,https://truyenqqq.vn/truyen-tranh/a-bout-1506,"Action, School Life",https://i.truyenvua.com/ebook/190x247/a-bout_1447377914.jpg?gt=hdfgdfg&mobile=2,A-Bout!,1535768.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Trong một lần đi dự một chuyến du thuyền do đạt giải trong cuộc thi Cosplay mà T.V.Anh Minh - cosplayer lại lên nhầm một chuyến du thuyền khác. Kể từ đó cậu bắt đầu bị cuốn vào vòng xoáy của xã hội, thân thế của cậu dần được hé lộ. Nhưng với cách mà cậu ta nhìn đến thế giới thì chẳng có gì khiến cậu...",8994.0,236.0,https://truyenqqq.vn/truyen-tranh/ta-khong-muon-trung-sinh-dau-12538,"Comedy, Manhua, Truyện Màu",https://i.truyenvua.com/ebook/190x247/ta-khong-muon-trung-sinh-dau_1657589173.jpg?gt=hdfgdfg&mobile=2,Ta Không Muốn Trùng Sinh Đâu,3609995.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Trương Hạo ngất đi sau khi nhìn thấy mặt trăng máu trăm năm hiếm có, sau khi tỉnh lại cậu phát hiện ra cả thế giới đã thay đổi... Thuộc tính và quan điểm của nam nữ hoàn toàn bị đảo ngược, nữ gả cho nam biến thành nam gả cho nữ, nhà gái còn phải trả tiền sính lễ. Phụ nữ kiếm tiền nuôi gia đình, còn ...",389.0,10.0,https://truyenqqq.vn/truyen-tranh/ochikazuki-ni-naritai-13845,"Comedy, Romance, School Life, Slice Of Life",https://i.truyenvua.com/ebook/190x247/ochikazuki-ni-naritai_1678167559.png?gt=hdfgdfg&mobile=2,Ochikazuki Ni Naritai,23600.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"20 vương tử, 1 ngai vàng. Giữa cuộc đối đầu gay gắt, một âm mưu dần được vén màn, trái ngược với những gì công chúng đã biết, ánh nhìn theo dõi của kẻ thù hiện lên ngày càng nổi bật…
",98.0,37.0,https://truyenqqq.vn/truyen-tranh/sumire-16-sai-11513,"Comedy, Shounen, School Life",https://i.truyenvua.com/ebook/190x247/sumire-16-sai_1628559313.jpg?gt=hdfgdfg&mobile=2,Sumire 16 Sai !!,34181.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Trong một thế giới mà loài người đã trở thành con mồi cho những sinh vật mang hình dáng của những con bọ quái dị được mệnh danh là ""Albinos"", nổi lên trên thế giới đó là một cái tên mang trong mình niềm hy vọng cho một xã hội đang trong thời kỳ hậu tận thế - “Ryuuma"". Dù có qua bao nhiêu truyền thuy...",63.0,26.3,https://truyenqqq.vn/truyen-tranh/tinh-thu-cua-sat-thu-luu-ban-6550,"Action, Comedy, Psychological, Ecchi, Yaoi, Shounen Ai",https://i.truyenvua.com/ebook/190x247/tinh-thu-cua-sat-thu-luu-ban_1549459472.jpg?gt=hdfgdfg&mobile=2,Tình Thù Của Sát Thủ Lưu Ban,52348.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Takahiro, một anh hùng đã đánh bại quỷ vương, cứu một thế giới khác và trở về thế giới thực. Một ngày nọ, Takahiro đang chuẩn bị ôn bài cũ để thi đại học thì bất ngờ LILIA (aka con gái quỷ vương) xuất hiện và đòi nhân giống với Takahiro...
",6012.0,102.0,https://truyenqqq.vn/truyen-tranh/toi-o-the-gioi-khac-dua-dam-vao-phu-nu-13044,"Comedy, Manhua, Romance, Josei, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/toi-o-the-gioi-khac-dua-dam-vao-phu-nu_1664885299.jpg?gt=hdfgdfg&mobile=2,Tôi Ở Thế Giới Khác Dựa Dẫm Vào Phụ Nữ,1554921.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Nàng dâu mang tên Kinu đến sống cùng gia đình nhà chồng Fujidana. Thoạt đầu nhìn chồng là một người nhút nhát, lười biếng, nhưng cô đã bắt đầu tìm hiểu và biết rằng ""chồng mình có trái tim rộng lượng hơn mình nghĩ"".",2083.0,87.0,https://truyenqqq.vn/truyen-tranh/vuong-tu-huyen-bi-13137,"Action, Comedy, Drama, Fantasy, Supernatural, Romance, Manhwa, Historical, Cổ Đại, Truyện Màu",https://i.truyenvua.com/ebook/190x247/vuong-tu-huyen-bi_1666167414.jpg?gt=hdfgdfg&mobile=2,Vương Tử Huyền Bí,405028.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Hôn phu, chị gái, cha mẹ. Ngày Ariadne mất tất cả, cô đã quay trở lại 14 năm trước. “Chết tiệt! Ngay bây giờ ta cảm thấy rất yêu nàng! ” vị hôn phu nói, kiếp này anh ta lại có tính cách khác hoàn toàn với kiếp trước, “Đừng khóc, Ariadne. Em có biết mình xinh đẹp như thế nào không? ” Hoàng tử nói, an...",977.0,21.0,https://truyenqqq.vn/truyen-tranh/ryuuma-no-gagou-9140,"Action, Adventure, Drama, Fantasy, Supernatural, Seinen, Historical",https://i.truyenvua.com/ebook/190x247/ryuuma-no-gagou_1583819377.jpg?gt=hdfgdfg&mobile=2,Ryuuma No Gagou,107392.0
