condition,container,discription,follow,lastest_chap,link,teaser,title,type,view
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Vào Thế Kỉ 16, Nước Ý - Firenze, Là Cái Nôi Của Thời Kì Phục Hưng, Nơi Nghệ Thuật Phát Triển Mạnh Mẽ. Ở Một Góc Nhỏ Của Thành Phố Rộng Lớn Này, Hành Trình Của Một Cô Gái Sống Một Cuộc Sống Êm Ả Nhưng Ấp Ủ Hoài Bão Về Nghệ Thuật Bắt Đầu. Cô Ao Ước Trở Thành Một Họa Sĩ, Một Sự Nghiệp Bất Khả Thi Cho Một Cô Gái Sinh Ra Trong Một Gia Đình Quí Tộc. Vào Thời Đó, Nghệ Thuật Là Một Nghề Dành Riêng Cho Phái Nam, Đối Với Một Người Phụ Nữ Sẽ Vấp Phải Làn Sóng Phân Biệt Đối Xử Mạnh Mẽ. Bất Chấp Những Thử Thách, Arte Vẫn Kiên Trì Với Sự Cần Mẫn Và Thái Độ Tích Cực Của Mình! Update Các Thông Tin Mới Nhất Của Bộ Truyện Này Tại Facebook Của Nhóm Dịch: Hall Of Manga",749.0, Chapter 48 ,https://nettruyenco.vn/truyen-tranh/arte-3000018139,https://nettruyenco.vn/public/images/comics/arte.jpg, Arte ,"Drama,Historical,Manga,Romance,Seinen,Slice of Life ",4000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Một cô nàng tomboy khao khát được trở nên nữ tính, bí mật mặc chiếc váy đồng phục cũ và tưởng tượng có người đàn ông hành hạ mình để th* d*m.Một cô gái đáng yêu và ngây thơ có vẻ ngoài trẻ hơn tuổi, sử dụng vẻ ngoài đó để kiếm tiền từ việc ""đón khách"" từ năm 15.Một chàng trai nổi tiếng và được yêu mến, sử dụng tiền của bạn gái để mua trang phục nữ và khao khát được chấp nhận xxx khi ""là một cô gái"".Một mối tình tay ba vô cùng kì lạ....",1913.0, Chapter 59: Lang Thang ,https://nettruyenco.vn/truyen-tranh/himegoto-juukyuusai-no-seifuku-13504,https://nettruyenco.vn/public/images/comics/himegoto-juukyuusai-no-seifuku.jpg, Himegoto - Juukyuusai No Seifuku ,"Adult,Drama,Gender Bender,Psychological,Romance ",6000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,706906.0, Chap 93 ,https://nettruyenco.vn/truyen-tranh/om-chat-vao-long-4000000012,https://nettruyenco.vn/public/images/comics/om-chat-vao-long.jpg, Ôm Chặt Vào Lòng ,"Boys Love, Linh Dị, Tu Tiên, Đam Mỹ ",2000000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,3143.0, Chap 8 ,https://nettruyenco.vn/truyen-tranh/nhat-duoc-ac-ma-14640,https://nettruyenco.vn/public/images/comics/nhat-duoc-ac-ma.jpg, Nhặt Được Ác Ma ,"Boys Love, Cổ Trang, Đam Mỹ ",7000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,9878.0, Chap 20 ,https://nettruyenco.vn/truyen-tranh/ong-tho-4000000025,https://nettruyenco.vn/public/images/comics/ong-tho.jpg, Ong Thợ ,"Boys Love, Hiện Đại, Đam Mỹ ",62000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,73.0, Chapter 26 ,https://nettruyenco.vn/truyen-tranh/nang-cong-chua-cua-moi-nguoi-14891,https://nettruyenco.vn/public/images/comics/nang-cong-chua-cua-moi-nguoi.jpg, Nàng Công Chúa Của Mọi Người ,"Chuyển Sinh,Cổ Đại,Manhwa,Ngôn Tình,Romance,Truyện Màu ",4000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,4149.0, Chapter 8 ,https://nettruyenco.vn/truyen-tranh/nam-giu-trai-tim-cua-bao-chua-14890,https://nettruyenco.vn/public/images/comics/nam-giu-trai-tim-cua-bao-chua.jpg, Nắm Giữ Trái Tim Của Bạo Chúa ,"Manhwa,Ngôn Tình,Romance,Truyện Màu ",9000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,4008.0, Chapter 25 ,https://nettruyenco.vn/truyen-tranh/toi-da-pham-sai-lam-roi-14889,https://nettruyenco.vn/public/images/comics/toi-da-pham-sai-lam-roi.jpg, Tôi Đã Phạm Sai Lầm Rồi ,"Cổ Đại,Manhwa,Ngôn Tình,Truyện Màu,Xuyên Không ",8000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,478.0, Chapter 3 ,https://nettruyenco.vn/truyen-tranh/cung-luc-gia-yeu-duong-vung-trom-14888,https://nettruyenco.vn/public/images/comics/cung-luc-gia-yeu-duong-vung-trom.jpg, Cùng Lục Gia Yêu Đương Vụng Trộm ,"Drama,Manhua,Ngôn Tình,Truyện Màu ",8000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,406.0, Chapter 30 ,https://nettruyenco.vn/truyen-tranh/dai-tieu-thu-sao-phai-gia-nam-14887,https://nettruyenco.vn/public/images/comics/dai-tieu-thu-sao-phai-gia-nam.jpg, Đại Tiểu Thư Sao Phải Giả Nam ,"Chuyển Sinh,Cổ Đại,Manhwa,Ngôn Tình,Romance,Truyện Màu ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,742.0, Chapter 13: Một Ngày Bình Thường ,https://nettruyenco.vn/truyen-tranh/tokyo-babel-14886,https://nettruyenco.vn/public/images/comics/tokyo-babel.jpg, Tokyo Babel ,"Action,Manga,Mystery,Shounen,Supernatural ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,1219.0, Chapter 12 ,https://nettruyenco.vn/truyen-tranh/toi-chinh-la-em-gai-cua-nu-chinh-hac-am-14779,https://nettruyenco.vn/public/images/comics/toi-chinh-la-em-gai-cua-nu-chinh-hac-am.jpg, Tôi Chính Là Em Gái Của Nữ Chính Hắc Ám ,"Cổ Đại,Fantasy,Manhwa,Ngôn Tình,Romance,Shoujo ",7000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,150.0, Chapter 21.2 ,https://nettruyenco.vn/truyen-tranh/nguoi-chong-thien-than-cua-toi-that-ra-la-ac-quy-14849,https://nettruyenco.vn/public/images/comics/nguoi-chong-thien-than-cua-toi-that-ra-la-ac-quy.jpg, Người Chồng Thiên Thần Của Tôi Thật Ra Là Ác Quỷ ,"Fantasy,Manhwa,Ngôn Tình,Truyện Màu,Webtoon ",2000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,2592.0, Chapter 2 ,https://nettruyenco.vn/truyen-tranh/toi-muon-an-bento-cua-asahina-san-14885,https://nettruyenco.vn/public/images/comics/toi-muon-an-bento-cua-asahina-san.jpg, Tôi Muốn Ăn Bento Của Asahina-San ,"Drama,Manga,Romance,School Life,Seinen ",7000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,Vua dâm tặc. Hoss kẻ được mọi người tôn sùng. đã chết do lên đỉnh khi sếc quái thú. Trước khi chết ngài đã lại toàn bộ di sản Và truyền tư tưởng cho con dân,3765.0, Chapter 34 ,https://nettruyenco.vn/truyen-tranh/doc-la-dungeon-13442,https://nettruyenco.vn/public/images/comics/doc-la-dungeon.jpg, Độc Lạ Dungeon ,"Action,Adult,Comedy,Ecchi,Fantasy,Manhwa,Mature ",8000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Một Câu Chuyện Về Một Thế Giới Tồn Tại Những Sinh Vật Trong Trí Tưởng Tượng Của Con Người, Liệu Rằng Thứ Gọi Là Sự Hòa Hợp Có Tồn Tại Ở Thế Giới Này...?",476.0, Chapter 10 ,https://nettruyenco.vn/truyen-tranh/ho-van-chua-muon-xoi-rong-14534,https://nettruyenco.vn/public/images/comics/ho-van-chua-muon-xoi-rong.jpg, Hổ Vẫn Chưa Muốn Xơi Rồng ,"Action,Adventure,Fantasy,Historical,Manga,Romance,Slice of Life ",1000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Trung Văn Võng cấp A ký kết tác phẩm: Đại Đường: Võ thần Group Chat ) Trịnh Quán mười lăm năm.Hắn lấy hàn môn thân bước vào Vệ Quốc Công Lý Tĩnh phủ đệ, trở thành Lý phủ con rể.Xuyên việt mà đến, mười lăm năm chờ đợi, rốt cục nhịn đến hệ thống kích hoạt ngày hôm đó.Tôn Tẫn: ""Đàn chủ, nơi này là ta viết Tôn Tẫn Binh Pháp, ngươi cầm đi đi.""""Hệ thống nhắc nhở, chủ ký sinh kích hoạt Tôn Tẫn Binh Pháp, trí lực vĩnh cửu thêm 10, nắm giữ vô thượng binh pháp thao lược.""Hạng Vũ: ""Đàn chủ, nơi này là",403.0, Chapter 7 ,https://nettruyenco.vn/truyen-tranh/dai-duong-vo-than-group-chat-3000029044,https://nettruyenco.vn/public/images/comics/dai-duong-vo-than-group-chat.jpg, Đại Đường: Võ Thần Group Chat ,"Action,Manhua,Mystery,Truyện Màu,Xuyên Không ",1000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,"Người Địa Cầu Tiêu Thiên Tại Sinh Tử Tồn Vong Thời Khắc, Bị Nữ Đế Tử Nhược Yên Triệu Hoán Đến Đại Viêm Vương Triều Trở Thành Phu Quân Của Nàng, Còn Được Cái “Mạnh Nhất Chí Tôn Hệ Thống”, Nhưng Tiêu Thiên Chỉ Muốn Làm Một Cái Nữ Đế Chung Cực Cơm Mềm Thân Vương A!",196042.0, Chapter 204 ,https://nettruyenco.vn/truyen-tranh/mo-dau-nu-de-lam-chinh-cung-13563,https://nettruyenco.vn/public/images/comics/mo-dau-nu-de-lam-chinh-cung.jpg, Mở Đầu Nữ Đế Làm Chính Cung ,"Fantasy,Manhua,Xuyên Không ",491000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,29800.0, Chap 36 ,https://nettruyenco.vn/truyen-tranh/cho-la-that-4000000004,https://nettruyenco.vn/public/images/comics/cho-la-that.jpg, Cho Là Thật ,"Boys Love, Hiện Đại, Đam Mỹ ",129000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,216994.0, Chap 50 ,https://nettruyenco.vn/truyen-tranh/cho-lon-bat-nat-chu-4000000102,https://nettruyenco.vn/public/images/comics/cho-lon-bat-nat-chu.jpg, Chó Lớn Bắt Nạt Chủ ,"Boys Love, Đam Mỹ ",629000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,4870.0, Chap 17 ,https://nettruyenco.vn/truyen-tranh/tinh-dau-han-dinh-14423,https://nettruyenco.vn/public/images/comics/tinh-dau-han-dinh.jpg, Tình Đầu Hạn Định ,"Boys Love, Đam Mỹ ",18000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,24309.0, Chap 47 ,https://nettruyenco.vn/truyen-tranh/hom-nay-lai-lay-mang-cong-luoc-phan-dien-4000000027,https://nettruyenco.vn/public/images/comics/hom-nay-lai-lay-mang-cong-luoc-phan-dien.jpg, Hôm Nay Lại Lấy Mạng Công Lược Phản Diện ,"Boys Love, Cổ Trang, Đam Mỹ ",151000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,750.0, Chapter 1 ,https://nettruyenco.vn/truyen-tranh/lao-to-tong-vua-xinh-vua-ngau-14884,https://nettruyenco.vn/public/images/comics/lao-to-tong-vua-xinh-vua-ngau.jpg, Lão Tổ Tông Vừa Xinh Vừa Ngầu ,"Manhua,Ngôn Tình,Truyện Màu ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,755.0, Chapter 2 ,https://nettruyenco.vn/truyen-tranh/thien-kim-toan-nang-lat-tung-troi-14881,https://nettruyenco.vn/public/images/comics/thien-kim-toan-nang-lat-tung-troi.jpg, Thiên Kim Toàn Năng Lật Tung Trời ,"Manhua,Ngôn Tình,Truyện Màu ",8000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"""Tại Sao 5 Năm Trước Rơi Vào Tay Hắn, 5 Năm Sau Cũng Là Hắn Vậy?!"" Bạch Sơ Hiểu Tức Giận, Nhấc Cổ Áo Của Giang Thừa Dục, ""Anh Hại Tôi Đau Khổ Nhiều Năm Như Vậy, Định Đền Bù Như Thế Nào?"" Giang Thừa Dục Cười Tà Mị, Trở Tay Ôm Cô: ""Hai Baby Này Thêm Một Đời Yên Vui Có Được Không?",71.0, Chapter 418 ,https://nettruyenco.vn/truyen-tranh/dua-mami-ve-nha-2000005540,https://nettruyenco.vn/public/images/comics/dua-mami-ve-nha.jpg, Đưa Mami Về Nhà ,"Manhua,Ngôn Tình,Truyện Màu ",6000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Haimura Kiri là một cậu bé có vẻ bình thường trừ một vấn đề nhỏ: Cậu bị ám ảnh bởi việc cắt tóc người khác. Một ngày nọ, cậu gặp Mushiyanokouji Iwai, “Nữ ho àng tóc”, người không thể cắt tóc vì một lời nguyền thừa kế. Kiri phát hiện ra rằng kéo của mình, “Crime Edge” là thứ duy nhất có thể cắt chúng. Nhưng cậu không biết rằng cuộc gặp gỡ của họ sẽ gây ra sự khởi đầu cho một trò chơi giết người xưa để tiêu diệt “Nữ Hoàng Tóc” bằng cách sử dụng các công cụ giết người bị nguyền rủa, “Killing Goods”. Liệu Kiri có thể bảo vệ Iwai khỏi những chủ nhân Killing Goods ? Trò chơi bắt đầu.",478.0, Chương 15 ,https://nettruyenco.vn/truyen-tranh/dansai-bunri-no-crime-edge-5449,https://nettruyenco.vn/public/images/comics/dansai-bunri-no-crime-edge.jpg, Dansai Bunri No Crime Edge ,"Action,Manga,Sci-fi ",5000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"Mình nhận làm truyện thuê nhật - việt Anh - việt Trung - việt ( có trả phí ) Nên ai có nhu cầu cứ gửi tin nhắn cho mình hoặc nhắn qua discordMột miếng truyện tình củm hề hước của một cô gái ngoại cảm với năng lực có thể nhìn thấy trước tương lai với con mắt thứ 3.Vào một ngày trời xanh mây trắng nắng vàng thì bất ngờ cô bé đc một cậu bé tiến tới tỏ tình. Như mọi lần, cô lại dùng con mắt để nhìn tương lai để từ chối như bao thằng khác nhưng tương lai này... nó lạ lắm...",1743.0, Chương 11 ,https://nettruyenco.vn/truyen-tranh/tinh-yeu-thien-ly-nhan-va-su-non-not-13125,https://nettruyenco.vn/public/images/comics/tinh-yeu-thien-ly-nhan-va-su-non-not.jpg," Tình Yêu, Thiên Lý Nhãn Và Sự Non Nớt ","Comedy,Manga,Romance ",4000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"[Mỗi ngày cập nhật 1 chap] Đế Nhan Ca xuyên vào một quyển tiểu thuyết đại nam chủ, chỉ có chết mới có thể trở về thế giới ban đầu. Vì muốn nhanh chóng về nhà, nàng nữ giả nam, nghĩ hết mọi cách đối đầu với nhân vật chính, làm huynh đệ với phản diện. Thậm chỉ vì để kéo cừu hận mà cố ý không nói nhiều, không giải thích, làm theo ý mình, không hề có cảm tình. Nhưng... Đế Tôn lạnh lùng cũng không chịu nổi đám người thích bổ não này! Lúc từng thân phận của nàng bị lột xuống - con đường tìm chết của Đế Nhan Ca trở thành con đường bá chủ- thì cũng là lúc thân phận của nàng lộ ra trước mặt mọi người... Đế Nhan Ca: Tiễn Đế Tôn không bằng tiễn ta chết, cảm ơn. Chúng tiên: Ngài ấy vậy mà nói cảm ơn ta, thật sự, khóc muốn chết. Đế Nhan Ca..........",4149.0, Chương 25 ,https://nettruyenco.vn/truyen-tranh/sau-khi-khong-ngung-tim-duong-chet-ta-tro-thanh-de-ton-van-nguoi-me-14794,https://nettruyenco.vn/public/images/comics/sau-khi-khong-ngung-tim-duong-chet-ta-tro-thanh-de-ton-van-nguoi-me.jpg," Sau Khi Không Ngừng Tìm Đường Chết, Ta Trở Thành Đế Tôn Vạn Người Mê ","Chuyển Sinh,Manhua,Ngôn Tình,Truyện Màu ",10000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"[Mỗi ngày cập nhật 1 chap] Hào môn Tô Gia mong ngóng 10 năm, cuối cùng cũng có được một cô con gái. Kết quả con gái vừa sinh ra thì đã bị mất tích, cả Tô gia đều phát điên hết cả lên. Tô gia trải qua trăm cay nghìn đắng mới tìm lại được con gái của mình. Chỉ thấy cô nhóc 3 tuổi rưỡi tay trái cầm một lá bùa, tay phải cầm kiếm gỗ đào, sau lưng còn đeo một thanh thất tinh kiếm so với người còn cao hơn. Từ đó mọi thứ đều thay đổi.",1313.0, Chương 25 ,https://nettruyenco.vn/truyen-tranh/sung-be-ca-koi-3-tuoi-ruoi-14734,https://nettruyenco.vn/public/images/comics/sung-be-ca-koi-3-tuoi-ruoi.jpg, Sủng Bé Cá Koi 3 Tuổi Rưỡi ,"Manhua,Ngôn Tình,Truyện Màu ",7000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"[Mỗi ngày cập nhật 1 chap] Vì để có thể sống lại, Thịnh Ái cần xuyên thành nữ phụ pháo hôi của các thế giới khác nhau, hoàn thành nhiệm vụ ngăn cản phản diện hắc hóa, nhưng mà... Rõ ràng là một BOSS phản diện cố chấp máu lạnh, nhưng tại sao lại ""Ái Ái, ngoại trừ bên cạnh tôi, em không được đi đâu cả..."", ""Ái Ái, vì nàng, diệt giang sơn thì đã sao!"", ""Ái Ái, nàng chính là tâm ma của ta"". Thịnh Ái: ?????",455.0, Chương 25 ,https://nettruyenco.vn/truyen-tranh/xuyen-nhanh-phan-dien-qua-sung-qua-me-nguoi-14733,https://nettruyenco.vn/public/images/comics/xuyen-nhanh-phan-dien-qua-sung-qua-me-nguoi.jpg, Xuyên Nhanh: Phản Diện Quá Sủng Quá Mê Người ,"Manhua,Ngôn Tình,Truyện Màu,Xuyên Không ",1000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"[Mỗi ngày update 1 chap] ""Thôi vậy, ta lựa chọn mặc kệ đời."" Xuyên sách, Diệp Kiều vì muốn thoát khỏi vận mệnh nữ phụ pháo hôi, nàng suốt đêm xuống núi gia nhập vào tông môn mới, bị thu làm đệ tử thân truyền thì thôi đi, còn tặng kèm thêm bốn sư huynh sủng nàng tới tận trời. Từ đó, Diệp Kiều quyết định đưa các sư huynh rời xa nữ chính vạn người mê, nghịch thiên cải mệnh!",76.0, Chương 33 ,https://nettruyenco.vn/truyen-tranh/tieu-su-muoi-ro-rang-rat-manh-nhung-lai-qua-tau-he-14676,https://nettruyenco.vn/public/images/comics/tieu-su-muoi-ro-rang-rat-manh-nhung-lai-qua-tau-he.jpg," Tiểu Sư Muội Rõ Ràng Rất Mạnh, Nhưng Lại Quá Tấu Hề ","Manhua,Ngôn Tình,Truyện Màu ",1000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"Beatrice đã sống như một vị thánh trong 10 năm để ngăn chặn thảm họa của đế chế và cố giành được tình yêu của gia đình. Nhưng một ngày nọ, vị trí thánh nữ của cô bị một cô gái tên Lina Cumbell với mái tóc đen… lấy mất. “Ta sẽ giết cô, gia đình cô và tất cả những tín đồ.” Mọi người cho rằng Beatrice là phù thủy hắc ám và cô ấy bị đưa ra hành quyết. Cuộc đời thứ hai của Beatrice đã bắt đầu như thế. “Ngay cả khi kiếp này trở thành một nữ phản diện… Lina, tôi cũng sẽ báo thù cô!!” Cuộc sống mới của Lice, một vị thánh chân chính quyết định trở thành kẻ ác đã bắt đầu.",2640.0, Chương 11 ,https://nettruyenco.vn/truyen-tranh/thanh-nu-tro-lai-lam-phan-dien-13981,https://nettruyenco.vn/public/images/comics/thanh-nu-tro-lai-lam-phan-dien.jpg, Thánh Nữ Trở Lại Làm Phản Diện ,"Drama,Fantasy,Manhwa,Ngôn Tình,Shoujo,Truyện Màu ",9000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"Truyện tranh Hậu Cung Của Nữ Đế được cập nhật nhanh và đầy đủ nhất tại NetTruyen. Bạn đọc đừng quên để lại bình luận và chia sẻ, ủng hộ NetTruyen ra các chương mới nhất của truyện Hậu Cung Của Nữ Đế.",485.0, Chương 338 ,https://nettruyenco.vn/truyen-tranh/hau-cung-cua-nu-de-7272,https://nettruyenco.vn/public/images/comics/hau-cung-cua-nu-de.jpg, Hậu Cung Của Nữ Đế ,"Cổ Đại,Comedy,Manhua,Ngôn Tình,Truyện Màu ",7000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"Vì cuộc chiến tranh này đã xảy ra biến hóa nghiêng trời lệch đất, ma pháp sư, kỵ sĩ, tu nữ các chức nghiệp bắt đầu xuất hiện, nơi đây đã biến thành thế giới ma pháp. 5000 năm sau, một đạo thiên lôi đánh thức đại tu sĩ Chung Thiên Thuận đang ngủ say trong Hiên Viên Mộc, hắn trở thành tu tiên giả cuối cùng trên thế giới này.",457.0, Chapter 13.5 ,https://nettruyenco.vn/truyen-tranh/tu-tien-gia-cuoi-cung-13456,https://nettruyenco.vn/public/images/comics/tu-tien-gia-cuoi-cung.jpg, Tu Tiên Giả Cuối Cùng ,"Action,Comedy,Fantasy,Manhua,Truyện Màu ",1000.0
Đang tiến hành ,https://nettruyenco.vn/?page=2,"Cháu trai của người buôn đồ cổ và công chúa ăn xin kết hôn với nhau.Thời hạn hiệu lực là hai năm, và đó là một hợp đồng để thúc đẩy lợi ích hai bên.Một sĩ quan hải quân đầy triển vọng và một người đàn ông siêu giàu có, cháu trai của một người buôn bán đồ cổ, người bị coi thường vì dòng máu tầm thường của mình mặc dù đã thành công rực rỡ.Bastian Clausitz cần một bước đệm để thành công và trả thù.Một quý tộc sa ngã không có gì ngoài vinh quang trong quá khứ, một công chúa ăn xin kiếm sống bằng cách bán sức lao động hàng ngày mặc dù cô ấy có dòng dõi hoàng tộc.Odette von Diessen cần tiền để bắt đầu cuộc sống mới.Tôi nghĩ đó là một thương vụ thành công.Cho đến khi xảy ra hư hỏng ngoài ý muốn.“Tôi đã làm hỏng thứ quý giá nhất đối với mình, vì vậy thật công bằng khi anh cũng mất đi thứ quý giá nhất. Không phải như vậy sao?”Bastian quyết định chịu trách nhiệm về thiệt hại to lớn.Căm hận, oán hận, hối hận, thậm chí cái tên người con gái chết tiệt này.Cho cái kết hoàn hảo, nơi mọi thứ bị thiêu rụi và biến mất.",532.0, Chương 33.2 ,https://nettruyenco.vn/truyen-tranh/bastian-13692,https://nettruyenco.vn/public/images/comics/bastian.jpg, Bastian ,"Cổ Đại,Fantasy,Manhwa,Ngôn Tình,Truyện Màu ",1000.0
